Substrate Type,Substrate Concentration (g COD/L),Hydraulic Retention Time (hrs),Applied Voltage (V),Current Density (A/m³),pH,Temperature (°C),Inoculum Type,Hydrogen Production Rate (m³ H?/m³·d),Reference
Sodium acetate,0.64,9,0.6,0.69,9,24,Anaerobically digested sewage sludge,0.0125,"Kyazee et al., 2010"
Sodium acetate,0.64,9,0.6,1.45,5,24,Anaerobically digested sewage sludge,0.0323,
Sodium acetate,0.64,9,0.85,1.7,9,24,Anaerobically digested sewage sludge,0.0598,
Sodium acetate,0.64,9,0.85,1.93,5,24,Anaerobically digested sewage sludge,0.065,
Sodium acetate,0.64,9,0.862,1.69,7,30.4,Anaerobically digested sewage sludge,0.0565,
Sodium acetate,0.64,9,0.862,1.33,7,23,Anaerobically digested sewage sludge,0.0422,
Sodium acetate,0.64,9,0.862,0.89,7,20,Anaerobically digested sewage sludge,0.028,
Palm Oil Mill Effluent (POME),2,24,1.1,5,6.5,30,SRB-enriched mixed culture,0.55,"Jafary et al., 2017"
POME,2,24,1.1,5,6,30,SRB-enriched mixed culture,0.6,
POME,2,24,1.1,5,5.5,30,SRB-enriched mixed culture,0.85,
POME,2,24,1.1,5,5,30,SRB-enriched mixed culture,1.1,
POME,2,24,1.1,5,4.5,30,SRB-enriched mixed culture,1.5,
POME,2,24,1.1,5,4,30,SRB-enriched mixed culture,1.85,
POME,2,24,1.1,5,3.5,30,SRB-enriched mixed culture,1.6,
Domestic wastewater,0.167,24,1.1,0.4,7,22.5,Autochthonous (raw wastewater),0.00795,"Heidrich et al., 2014"
Domestic wastewater,0.157,24,1.1,0.34,6.7,23.4,Autochthonous,0.01364,
Domestic wastewater,1.976,24,1.1,0.3,7,18.5,Autochthonous,0.01023,
Domestic wastewater,1.77,24,1.1,0.28,7,16.4,Autochthonous,0.0125,
Domestic wastewater,1.167,24,1.1,0.25,7,14,Autochthonous,0.00795,
Domestic wastewater,1.167,24,1.1,0.23,6.7,10.3,Autochthonous,0.00682,
Domestic wastewater,0.147,24,1.1,0.2,7,9.7,Autochthonous,0.00341,
Domestic wastewater,0.157,24,1.1,0.22,6.7,12.3,Autochthonous,0.00568,
Domestic wastewater,0.147,24,1.1,0.2,6.7,18.7,Autochthonous,0.00341,
Domestic wastewater,0.147,24,1.1,0.2,6.7,17.4,Autochthonous,0.00341,
Domestic wastewater,0.157,24,1.1,0.22,7,18.4,Autochthonous,0.00568,
Domestic wastewater,0.147,24,1.1,0.2,6.7,16.7,Autochthonous,0.00341,
Domestic wastewater,0.147,24,1.1,0.25,6.7,12.5,Autochthonous,0.007,
Acetate,1,24,0.25,40,7,25,Mixed culture (wastewater),0.4,"Wrana et al., 2010"
Acetate,1,24,0.45,50,7,25,Mixed culture,0.45,
Acetate,2,24,0.6,90,7,30,Mixed sludge,0.7,
Acetate,2,24,0.6,120,7,30,Mixed sludge,0.75,
Acetate,2,24,0.6,140,7,30,Mixed sludge,0.8,
Acetate,2,24,1,200,7,30,Mixed sludge,0.9,
Acetate,1,24,0.6,100,7,30,Mixed sludge,0.8,"kadier et al., 2016"
Acetate,1,24,0.6,120,7,30,Mixed sludge,0.75,
Acetate,1,24,1,200,7,30,Mixed sludge,0.9,
Butyrate,1,24,0.6,95,7,30,Mixed sludge,0.55,
Propionate,1,24,0.6,80,7,30,Mixed sludge,0.5,
Glucose,1,24,0.8,150,7,30,Anaerobic sludge,0.65,
Wastewater,1,24,0.6,130,7,30,Anaerobic sludge,0.72,
Synthetic acetate medium,1.5,24,0.9,12.3,7,30,Anaerobic digester sludge,1.4,"Kumar et al., "
Food wastewater,2,48,0.8,8.1,7,30,Mixed anaerobic culture,0.95,
Domestic wastewater,1.2,72,0.7,5,6.8,25,Mixed culture,0.35,
Acetate,2.5,24,1,15.4,7.2,35,Geobacter-enriched sludge,1.8,
Butyrate,1,96,0.6,3.2,6.5,30,Mixed sludge,0.18,
Molasses wastewater,2.3,48,0.9,10.1,7,30,Mixed sludge,0.72,
Corn stalk DF effluent,3.9,48,0.8,25,7,30,Mixed anaerobic sludge,3.43,"Srivastava et al., 2024"
Food waste DF effluent,2.5,24,0.2,2.5,7,30,Clostridium spp. enriched sludge,3.48,
Palm oil mill wastewater,8.2,48,0.7,1.6,7.2,35,Mixed sludge (DF-MEC),7.81,
Cellulose DF effluent,0.114,72,0.6,0.48,6.8,37,Mixed anaerobes,0.48,
Sodium acetate,0.6,9,0.6,0.69,9,24,Anaerobically digested sewage sludge,0.1,"Kyazze et al., 2010"
Sodium acetate,0.6,9,0.85,1.7,9,24,Anaerobically digested sewage sludge,0.2,
Sodium acetate,0.6,9,1,1.7,9,24,Mixed culture (literature comp.),0.3,
Synthetic wastewater (acetate),2.5,72,0.6,0.21,7,30,Mixed anaerobic sludge,0.106,"Ivan Madondo  et al ., 2022"
Synthetic wastewater (acetate),3,72,0.8,0.25,7.5,30,Mixed anaerobic sludge,0.113,
Synthetic wastewater (acetate),3.5,72,1,0.3,8,30,Mixed anaerobic sludge,0.127,
