Applied Voltage (V),Current Density (mA/cmÂ²),Substrate Concentration (g COD/L),Inoculum Type,HRT (d),pH,Temperature (Â°C),Substrate Type,Hydrogen Production Rate (HPR) (m³ H?/m³·d)
0.564855987,8.464122695,9.470531647,Sludge,5.856005984,8.640538547,28.55003663,Acetate,7.959163705
0.828140769,4.952585018,5.005035058,Mixed,7.551524591,8.23209052,26.52676862,Starch,4.798993506
0.359739026,4.440785272,8.689405184,Sludge,1.971493432,5.86420546,36.79319311,Acetate,8.483117747
0.611387551,3.097367183,8.523219286,Mixed,7.167682145,6.866431139,22.87628701,Acetate,5.635640845
0.673931655,1.035567218,3.531454496,Mixed,1.826837989,8.26689281,28.60205753,Glucose,6.036188566
0.23716033,8.714862574,8.374697004,Mixed,9.686167679,5.269538219,38.07515144,Acetate,5.755301879
0.686035882,8.222559587,0.85157253,Sludge,5.395547171,6.549570343,36.91699101,Acetate,3.809863537
0.336419299,9.997317896,6.164563846,Sludge,2.356084969,8.407364947,28.01883525,Glucose,7.277144309
0.252041274,9.968049952,2.685083954,Pure Culture,4.081452724,6.615591457,35.26216727,Starch,5.141475081
0.95910843,5.776601203,1.645385415,Mixed,4.720748044,5.310458579,36.46321661,Starch,5.124607756
0.972505626,7.805380444,1.231055415,Pure Culture,7.8236651,7.170137474,37.77774848,Acetate,3.433718304
0.846717878,9.475274434,7.114743371,Pure Culture,7.690814075,8.44696998,30.89011538,Starch,6.710847605
0.443691015,8.571650211,3.728812156,Sludge,6.507464548,7.361142172,24.08921772,Acetate,5.186088503
0.278137691,2.849806967,7.38528433,Sludge,1.953376413,5.905116433,25.10618153,Glucose,6.834644591
0.747386421,4.780169285,1.120885238,Pure Culture,2.364124344,6.536958481,25.91389348,Glucose,4.76027
0.552121995,1.727014444,3.495258209,Mixed,1.843812286,6.800493445,31.87604962,Acetate,6.59189009
0.297630588,9.563484759,5.625167278,Sludge,6.19455505,7.317065415,20.65619248,Glucose,5.15395323
0.596141528,6.258659027,8.011870066,Mixed,8.894245974,8.037404103,32.72084938,Glucose,6.777471065
0.227510817,2.672106652,3.528148778,Mixed,4.90420461,5.395494471,27.28708477,Acetate,4.565672022
0.927456322,6.881156502,6.445968076,Pure Culture,2.447633566,8.558608132,25.90483605,Acetate,7.882371067
0.407023985,6.372218284,8.916788608,Pure Culture,6.022380926,5.049238812,37.58993141,Glucose,8.063863132
0.730017827,3.902545821,6.350700288,Pure Culture,8.305769952,6.480209339,29.20004791,Starch,4.924970992
0.449368861,1.578797126,2.71311501,Pure Culture,7.675408554,5.10968124,21.90106091,Starch,1.771780125
0.616054417,6.879945358,0.731807425,Sludge,8.933057017,6.571896901,36.53493536,Acetate,2.369911285
0.637368223,5.442923159,8.765939302,Sludge,3.501118875,7.103250395,20.95282515,Acetate,7.223381165
0.347883564,7.837024721,0.702059403,Pure Culture,2.745584805,7.046725546,34.53498448,Starch,4.965468036
0.975667702,5.441553261,8.80966589,Sludge,8.918348373,5.662513388,35.47812444,Glucose,6.637972077
0.820106259,8.595724253,5.524902773,Pure Culture,6.918042815,7.58296204,27.05205212,Starch,6.026906398
0.951599153,5.743114968,9.421143136,Mixed,3.79836037,5.179113802,36.49575713,Starch,8.766603665
0.91586188,5.82891073,8.08844074,Mixed,7.681132455,8.047627281,30.31318812,Starch,6.8670368
0.678319983,8.828209225,9.98037405,Mixed,8.33606546,8.786577736,29.26587307,Starch,7.297872729
0.937499388,4.333087229,3.831762247,Pure Culture,6.534804163,6.359075309,20.90806563,Acetate,3.12566783
0.270794002,1.77314467,7.788288745,Mixed,7.190956989,7.068957527,25.80058387,Acetate,6.061999434
0.35678629,0.773435425,4.318343679,Sludge,4.37733914,6.515641112,38.62019942,Glucose,7.15288115
0.236181831,7.673803929,5.058818393,Mixed,5.848261006,5.026841561,27.83647927,Glucose,4.721560337
0.460264265,6.392940738,6.461301901,Mixed,5.717432537,6.543498012,30.93401041,Glucose,5.360417424
0.510941832,7.188757797,8.799932585,Mixed,8.63243012,8.166881037,30.64043358,Glucose,7.306581693
0.417079225,2.523159534,9.848792957,Sludge,8.559675823,7.383955369,31.8086218,Starch,6.535411371
0.862990007,1.795529018,7.798597432,Pure Culture,8.494124224,5.405039658,21.22661911,Acetate,4.640606099
0.485402661,0.638174324,4.468784431,Sludge,1.099284528,8.388557959,27.2435251,Acetate,6.575824001
0.424747608,3.830581809,4.502891522,Pure Culture,7.74590936,7.12434138,34.46256548,Glucose,5.200017582
0.634156867,6.104218025,7.507031865,Pure Culture,7.828087511,8.366893447,24.01120502,Glucose,5.482582363
0.31273938,4.226318428,2.768382885,Mixed,7.105409406,7.320886075,24.07156755,Starch,3.235436067
0.841757585,4.656011759,1.549504075,Pure Culture,7.806381921,7.238753779,20.20181213,Starch,2.931756698
0.259640515,9.089507598,3.868910498,Sludge,8.577733343,5.421036741,28.74963853,Glucose,3.954108301
0.989509549,3.808426937,3.228770421,Sludge,5.232871487,5.669438933,37.65468761,Acetate,6.361216162
0.817795815,5.382900147,3.314927144,Pure Culture,5.518451921,8.888101026,21.03801887,Acetate,5.492296067
0.358972545,7.944703621,2.719273635,Mixed,2.122426512,5.913946987,23.82237419,Acetate,4.980058377
0.204417694,4.267156432,0.899885302,Mixed,4.468382947,8.909808472,26.20169077,Glucose,3.566724435
0.852369143,6.409823652,0.66980238,Sludge,6.790286619,7.127650826,34.63449473,Acetate,4.298347052
0.765485875,8.692455233,9.883362702,Mixed,8.023597985,5.543156188,32.81271186,Starch,7.770251196
0.783205734,9.520445925,4.56384477,Pure Culture,2.954881879,5.397208811,28.31887809,Starch,6.186535469
0.817016277,1.897198069,4.151103148,Pure Culture,2.240406092,5.835456283,35.18137879,Glucose,6.830881296
0.259235721,9.302582439,6.956649186,Sludge,6.967378041,8.70254932,32.19262023,Starch,6.099244594
0.486772583,5.175104784,2.573411935,Pure Culture,1.016918952,6.656600897,37.92081599,Glucose,5.980401923
0.292695248,2.953321689,9.524631248,Sludge,2.605353259,6.581737072,36.36053498,Acetate,9.118707656
0.890482741,4.861789684,7.970277637,Pure Culture,1.261642423,6.252825044,25.05627212,Acetate,8.149679543
0.698638501,9.810309465,1.349404522,Sludge,2.501966061,5.588247402,25.42877155,Acetate,3.803829418
0.46471842,5.179871893,4.46701737,Mixed,2.631873519,6.951404789,22.50712952,Starch,5.668386249
0.25084668,3.623140298,8.851623922,Pure Culture,4.489062353,5.52019113,26.73929451,Glucose,8.098121229
0.448785857,6.517308116,9.474954212,Pure Culture,4.620944122,8.341920946,39.99087837,Acetate,8.505529222
0.460146658,2.781383378,4.940314357,Sludge,8.868362235,6.481587945,28.11502337,Glucose,4.576707999
0.783684943,1.220701617,6.327408198,Sludge,5.590987412,6.499214271,24.40976869,Acetate,5.821188242
0.710045977,1.724357358,2.086822488,Pure Culture,7.510642891,6.896025714,35.24965769,Starch,4.487753848
0.909770194,1.71643547,9.916101948,Sludge,1.937236221,6.776510853,30.84942007,Starch,9.32958309
0.57777194,1.943075588,2.700881163,Pure Culture,3.028948799,8.979431892,22.99202899,Glucose,4.926032829
0.295675397,1.81885814,9.455951854,Mixed,7.326490969,7.181524485,27.61379362,Starch,7.029003439
0.77059583,6.588310076,6.671643165,Sludge,1.475235644,5.352806815,28.28939431,Starch,7.258411406
0.808628039,2.227860802,6.273499551,Pure Culture,5.37937896,7.427509366,35.07659401,Glucose,6.402729134
0.649021758,3.783839192,5.370540855,Mixed,6.394320691,5.606337171,20.41342738,Acetate,4.331844283
0.816773744,9.019489894,2.691363211,Mixed,6.419310796,5.123750579,25.38039294,Starch,2.927879957
0.595036477,5.002635582,2.177016304,Pure Culture,1.206395301,8.882968615,30.35192603,Glucose,6.341001624
0.618186264,6.841798516,2.594618986,Sludge,3.898972038,8.094155566,25.37693485,Starch,3.84591894
0.542032815,2.137038776,2.27116349,Pure Culture,6.728415859,8.92043597,32.56868095,Starch,5.105965718
0.220335301,2.326745679,7.906052499,Mixed,2.340997625,6.911513792,29.63734959,Starch,7.98781442
0.286313142,0.888251855,3.826189962,Pure Culture,7.258740835,7.129030125,27.2342051,Starch,4.330444086
0.225143349,2.104883099,1.049505427,Sludge,7.713326879,5.673347824,38.98417254,Glucose,2.341801213
0.709128329,3.146608221,9.706474986,Mixed,9.837722714,5.987629707,32.64318998,Glucose,6.766768563
0.451484785,2.181599601,8.895965907,Pure Culture,2.888577954,8.35419686,22.59882745,Glucose,8.450101226
0.606856553,1.342674071,9.31364669,Sludge,8.426176009,6.424742588,31.20183395,Starch,6.760283708
0.926053179,1.646040775,9.951624315,Mixed,5.682669192,8.307259895,35.61463706,Starch,8.695738554
0.399433783,4.877398296,2.152004868,Sludge,4.361163365,7.836054897,34.16979395,Starch,4.753055778
0.528306338,2.460170325,4.26429918,Mixed,2.101390816,5.708683701,23.44178459,Glucose,5.376153803
0.804440911,3.96056368,7.703265519,Pure Culture,7.619550458,7.029785464,39.44839998,Starch,7.134432217
0.383038532,5.282464073,7.112195872,Sludge,3.122718392,7.709549286,28.97627291,Acetate,7.982159009
0.261583928,7.058750872,1.96201111,Mixed,4.342798017,5.940148859,23.18050007,Starch,3.361179307
0.431801162,0.873465328,8.250414687,Sludge,1.562880042,8.322754042,23.60391508,Acetate,7.748941904
0.32897703,8.09439879,2.632185432,Sludge,8.212302242,7.17931063,21.96469984,Starch,2.097244014
0.943758122,6.4650537,2.626267341,Pure Culture,7.899296716,5.660968202,36.07036217,Glucose,4.679804313
0.846496304,1.276710804,5.601257017,Sludge,7.60254247,7.331937705,22.44060989,Starch,5.138344487
0.706723005,8.798996929,6.132929381,Mixed,3.694991594,8.998855217,22.50250514,Acetate,6.177262721
0.897168472,9.248287805,6.010818974,Mixed,2.561320668,5.602085967,37.0094323,Acetate,6.657943973
0.842937662,1.080240619,1.369124955,Mixed,6.73797938,8.26702772,26.89208169,Starch,3.885513601
0.349256047,3.130337657,8.835878195,Mixed,5.465497457,5.829236013,20.61715809,Acetate,6.191856014
0.914047199,8.158912158,3.023200405,Pure Culture,2.604272202,8.129553318,21.03790599,Acetate,5.359293147
0.631473794,7.608467059,1.730391752,Sludge,7.173201439,7.938311692,22.84340893,Glucose,4.069004978
0.845952124,2.252949684,8.943106759,Pure Culture,9.920137886,6.201957542,24.26786696,Starch,5.826035995
0.91687304,2.488818572,9.578689233,Sludge,7.72497629,6.30329247,33.30292388,Starch,7.539381736
0.45440278,4.019484977,8.690212364,Sludge,7.65987748,8.170085568,23.1465256,Starch,5.785673852
0.28804154,5.102968359,8.19040271,Sludge,9.552814776,6.845782048,22.37748782,Acetate,4.91048445
0.38234813,6.37342033,6.724798816,Pure Culture,2.826427308,7.923272115,35.29438283,Starch,8.0147311
0.541686231,4.004679576,5.733145021,Sludge,6.089949684,5.591936589,33.42110568,Starch,5.960088186
0.854411813,4.894079803,1.326374219,Pure Culture,9.816820435,8.410231128,28.70648443,Glucose,3.816097768
0.888584467,7.600973912,4.380305524,Mixed,2.487646999,7.843538867,30.98619543,Glucose,7.071596335
0.205561704,0.848490427,4.040540912,Mixed,7.302267635,8.627771235,26.23968041,Glucose,4.276161381
0.608597842,2.898150971,2.967660946,Sludge,6.272291314,5.529489516,29.6500084,Acetate,3.806639807
0.533928803,7.276821066,7.37249108,Pure Culture,6.27831183,7.372058001,30.13345298,Starch,6.850988313
0.377686248,9.004464958,5.210819483,Mixed,7.279035648,7.39648234,27.74474542,Glucose,4.524114977
0.295892294,5.3609357,1.269939051,Pure Culture,9.366552306,6.413842962,38.13144421,Glucose,3.247546222
0.470092137,5.55507811,2.591740419,Pure Culture,8.043237459,6.833865698,20.3212373,Glucose,2.901576514
0.954327763,1.518134108,6.990958255,Sludge,1.505224931,5.151926253,35.64342526,Starch,8.293875524
0.458562346,4.750417485,1.223243165,Mixed,8.674552179,7.983440155,22.48765662,Starch,1.906416277
0.615032497,5.559864031,8.586465683,Sludge,3.029871969,7.197289918,35.95094721,Starch,7.81820153
0.762415167,2.803469785,5.203892007,Sludge,4.392227483,5.230964207,32.31823831,Acetate,6.744144928
0.490903682,3.057810694,5.065572485,Mixed,5.155595323,7.723023572,36.86556182,Acetate,6.811641682
0.977425666,4.084199549,6.127873954,Mixed,5.328154007,6.867128309,21.95028651,Glucose,6.029694262
0.969957836,0.690676379,8.334469176,Pure Culture,4.916623593,5.137845038,31.17961268,Starch,6.833067887
0.401425837,3.559752073,3.804187475,Mixed,9.436179648,8.878430907,30.02175761,Glucose,4.860161804
0.597798805,2.508756066,6.941153449,Pure Culture,7.354171069,8.796448572,34.12386366,Starch,6.681632095
0.440702648,3.611224846,5.874453658,Pure Culture,6.680535814,7.051609665,30.68581104,Starch,5.620133589
0.427872396,1.637740252,3.036768567,Pure Culture,1.44857825,5.374689683,30.81469134,Starch,5.047872368
0.229509558,8.960009167,8.84698487,Mixed,9.135219972,8.018484886,28.59191887,Acetate,5.435950089
0.687651467,6.139128309,8.075547205,Sludge,9.184511728,6.9677244,26.17668848,Acetate,6.422428142
0.602143219,6.951472032,6.755292429,Pure Culture,8.021917571,6.209789913,29.64528723,Starch,6.302570908
0.241183001,7.997126767,8.580526426,Sludge,1.063262834,6.96567271,22.36984718,Glucose,7.711585948
0.422917171,5.23520089,8.739294909,Sludge,1.51552226,7.089776582,39.23026678,Starch,9.254614223
0.926612709,1.325742737,7.229448279,Mixed,3.02701332,7.250846796,34.28821527,Starch,8.138379112
0.391649513,5.602512147,8.451626619,Sludge,2.182144673,6.764894855,39.04934233,Glucose,8.967595227
0.315915898,6.074990621,7.125978886,Sludge,4.589524267,7.423021213,24.53454765,Starch,5.776994027
0.591562208,7.581675005,6.961337332,Mixed,9.303607523,8.674938842,37.5868204,Glucose,6.510378377
0.988520363,4.600765689,6.376808093,Pure Culture,5.248543908,6.449072348,36.17579969,Acetate,7.3886026
0.393644217,1.712012877,7.650808076,Sludge,1.120623638,7.902865853,33.54304825,Acetate,9.24808894
0.737708438,3.195871105,2.0067485,Mixed,3.544711206,8.577810227,32.50058372,Glucose,5.502870138
0.809295692,3.949281816,8.868272212,Sludge,1.401354175,6.823917103,26.33099331,Acetate,7.870873304
0.390110035,6.636213793,8.782513514,Sludge,1.326588604,6.773823346,36.3282157,Acetate,9.469728375
0.782573079,5.922393894,0.777849189,Pure Culture,3.481478678,7.408467941,30.03030923,Glucose,4.327298685
0.494226506,3.882918896,8.34525913,Sludge,3.480511048,7.365627038,21.41783152,Acetate,7.823970862
0.705844664,9.871894864,1.724263741,Mixed,8.084139423,8.226357369,26.25726322,Starch,3.987292472
0.706823769,6.254860784,3.683629115,Sludge,9.773511875,6.905933535,38.70594197,Starch,5.45922807
0.628619747,2.753654521,7.563328435,Pure Culture,4.340863845,8.984491799,37.01360521,Glucose,8.199765775
0.272231816,1.46693349,2.027219012,Pure Culture,4.85998191,5.237886275,39.63811396,Acetate,5.779716574
0.868241996,1.952161822,8.270686729,Mixed,8.603104927,5.012671394,32.55986765,Starch,6.68299778
0.456624052,2.83659842,8.405274691,Pure Culture,3.413251181,7.560793246,24.95020146,Starch,8.364330231
0.349214808,2.026473046,5.320943471,Sludge,2.40743624,6.193739649,23.25630099,Acetate,5.530680932
0.232620113,2.272386728,0.560665781,Pure Culture,8.677806611,5.961529555,23.73828881,Acetate,1.279923421
0.672714355,3.208404103,3.226862265,Mixed,1.418505278,6.24759632,20.39591317,Starch,5.15217529
0.742051489,2.147049155,6.360805725,Pure Culture,6.577294962,6.02419026,27.81364222,Starch,5.862996644
0.213270263,9.019271534,9.821268691,Pure Culture,6.057935627,5.123160199,23.82855361,Glucose,7.29876324
0.609674447,1.262220584,6.502228507,Pure Culture,4.113284028,8.88613217,28.23310921,Glucose,6.989341298
0.38119662,5.482858201,2.96813402,Mixed,3.83670569,5.882981954,38.69988864,Starch,6.266905349
0.716138232,4.398769856,6.523054179,Pure Culture,7.946719536,7.93611905,28.61080419,Glucose,6.264843298
0.339493143,9.832596861,5.629861107,Pure Culture,1.777821497,8.050385579,37.55968994,Starch,7.81252862
0.75275019,1.564369571,7.908531254,Sludge,3.131058784,8.717029592,32.11009533,Starch,8.898901905
0.509388277,4.279628191,1.516316069,Mixed,7.592038587,5.122197828,24.94263109,Glucose,2.170127232
0.949383991,9.709969116,7.729765074,Pure Culture,5.934885254,8.488193354,27.11709519,Glucose,8.428375243
0.310016755,8.722317696,5.642032497,Mixed,2.151893877,7.108904723,21.67839072,Acetate,4.680915346
0.472853081,8.262184674,9.648424037,Pure Culture,8.939220529,7.53017644,26.66925187,Acetate,7.030160402
0.290778817,2.950076857,3.747785577,Pure Culture,4.541030619,7.577881108,33.55081891,Acetate,4.732566815
0.939754895,2.12343208,6.509907985,Pure Culture,8.450815378,8.27919122,21.44222186,Starch,5.158745373
0.901871483,6.852110589,9.354267002,Sludge,8.08941714,6.333629289,24.10802817,Glucose,6.606530175
0.406353302,9.329071897,1.473842416,Sludge,6.619829018,7.932204759,27.62882083,Starch,4.179194958
0.727987237,5.789247484,9.403670629,Sludge,5.450330182,7.114312439,39.64099074,Glucose,8.690011505
0.85377776,5.93032055,7.034914362,Mixed,9.815957563,8.173576057,35.69723646,Starch,7.114136935
0.644160649,3.15980139,1.144452061,Mixed,2.304685651,8.962184131,34.66973493,Acetate,5.066150854
0.623720463,7.810182865,3.359153886,Sludge,7.526401548,5.80260407,22.32381913,Acetate,3.986870438
0.393481833,2.276915611,7.227634842,Mixed,2.720716313,8.978594566,35.61991787,Acetate,8.232925973
0.274482214,3.574952746,1.139830714,Pure Culture,4.044367948,5.359248617,35.70537623,Starch,4.25529535
0.917772606,4.541646167,6.030619372,Pure Culture,3.77828869,5.009270192,32.02205391,Glucose,6.651911262
0.920334446,5.322298598,3.785889041,Pure Culture,9.52332389,5.176647745,39.80723564,Glucose,5.42944976
0.706481166,2.802892458,6.398697419,Sludge,9.7062056,6.367129619,26.50507812,Acetate,5.320475619
0.471223833,1.590949835,0.934549321,Mixed,2.647138998,7.531625323,38.82544896,Acetate,5.660732849
0.47936766,6.300890403,8.779599658,Sludge,1.198316443,5.276118164,38.2946223,Acetate,8.722550695
0.780764543,3.241990256,9.748145207,Mixed,7.480072357,5.022663258,20.22961319,Acetate,5.924645568
0.917688208,6.021763104,9.704339625,Pure Culture,4.761909405,8.748364114,29.00233053,Glucose,8.29336517
0.909669139,1.966445795,7.621692402,Sludge,1.799562206,8.287706544,39.54208466,Starch,8.486391182
0.823900437,5.070830968,1.735819281,Mixed,7.15378695,8.236732685,22.06242725,Starch,3.865142218
0.713625317,5.559599609,7.703500361,Mixed,5.905949754,8.537697102,30.95569389,Starch,7.290062554
0.267311972,0.9923236,0.733575706,Pure Culture,9.824651398,7.800137091,39.57915014,Starch,2.981937462
0.329302971,3.697740643,0.71017374,Sludge,3.046685463,5.417616519,31.10990848,Acetate,4.647088877
0.918843351,1.776939431,3.574297082,Sludge,4.635800887,6.596400752,23.79630606,Acetate,4.592399411
0.685143248,1.102062219,5.142110309,Sludge,5.882912231,7.892597946,31.6436646,Acetate,5.676946665
0.207357641,9.904622208,7.818870469,Pure Culture,8.125299896,6.121337843,24.08881148,Starch,5.158507285
0.281177234,3.562361527,6.991306078,Sludge,5.93954791,7.749625457,30.39408526,Acetate,5.961729544
0.730801415,8.193807236,4.736075711,Pure Culture,6.516101448,5.097993793,21.48084436,Acetate,4.337709632
0.204049267,2.91908622,3.09945333,Pure Culture,3.035323464,6.224549364,32.10965338,Glucose,5.071413211
0.328646441,6.974275861,9.972682751,Pure Culture,8.622268553,7.196521345,30.33579878,Glucose,6.881826405
0.638987031,7.722164669,4.548722371,Mixed,4.857674923,7.528359318,34.80322738,Acetate,6.017291349
0.753516158,6.158568036,4.788176731,Sludge,2.268636648,7.308162658,32.61400942,Glucose,6.986233025
0.721569008,4.979973791,2.054426301,Sludge,6.977691231,7.791025104,30.99212537,Glucose,4.210319108
0.379415448,4.412488684,8.050690713,Pure Culture,2.944814079,5.024354993,33.79557698,Acetate,7.569874644
0.769743377,3.814248532,7.089981145,Pure Culture,1.878062592,5.4037648,22.87883827,Acetate,6.786620316
0.38979927,9.33052687,2.597311321,Sludge,8.757882176,8.475777009,31.90719323,Acetate,3.828243735
0.460319759,8.390884374,1.282619933,Pure Culture,5.14146038,7.726994576,23.44221206,Acetate,3.265538713
0.797193124,9.667755651,6.96474337,Sludge,7.743553414,5.451726571,38.51044416,Starch,6.753987873
0.719706319,1.680823623,6.717856536,Mixed,3.615288038,8.36829775,21.3666821,Starch,6.32209927
0.879378728,7.443241014,3.095965506,Pure Culture,8.082731214,5.968924871,28.60749499,Acetate,4.3834973
0.726090314,9.41423434,9.533203841,Sludge,2.007423343,6.913039537,33.91594955,Glucose,9.56786412
0.654646883,2.221714129,1.935049972,Pure Culture,4.203760364,5.580786052,29.16044423,Acetate,4.01039264
0.274939814,1.13171454,4.60718061,Sludge,9.802556362,7.840440226,21.84190506,Acetate,3.507245908
0.494172642,7.540646168,9.464351242,Sludge,8.145907447,7.667417684,31.06758032,Glucose,7.28679877
0.412161894,5.957494575,4.487409511,Pure Culture,5.475303373,5.844449885,32.83263818,Starch,4.516083876
0.395191715,8.497373379,6.565996503,Mixed,4.057997244,8.453603067,34.07584622,Acetate,7.650534031
0.978408444,1.827837578,4.277146781,Sludge,8.8492213,6.605224097,27.46519629,Acetate,3.824345102
0.51447818,8.055039463,3.105044422,Sludge,5.903629832,6.170060364,31.27319942,Starch,5.021561712
0.913637244,2.41545954,9.847787656,Sludge,7.825825161,5.609318358,29.0137295,Starch,7.209417877
0.704910901,2.054731457,4.38867306,Mixed,7.786969123,6.06467205,33.44112078,Glucose,5.36925615
0.835849043,2.06052508,8.993942435,Mixed,1.161511107,5.088107685,31.67113935,Starch,8.686823315
0.602109674,8.238459842,2.684568756,Pure Culture,2.136284045,7.33302997,30.51512439,Starch,5.736169971
0.661523108,6.819373597,2.524494688,Mixed,6.936664298,8.368922985,24.99048734,Starch,4.488421622
0.594014155,5.469121535,0.795773787,Pure Culture,2.454578302,7.195921798,20.04037035,Glucose,3.445437849
0.35619439,3.908889599,6.690834841,Pure Culture,3.299440102,5.877095848,23.48163351,Starch,5.868714873
0.777961692,8.833405138,4.001000265,Mixed,9.519741588,5.134676713,22.34132083,Starch,3.355534742
0.42461789,4.228228521,8.711403373,Pure Culture,6.041640325,5.858512293,28.9816949,Glucose,7.270606648
0.219452773,8.257694675,4.995494114,Mixed,7.756565563,6.664485712,32.24516302,Starch,4.629378484
0.716377837,4.671781631,9.697837565,Pure Culture,6.021826649,8.038445715,24.26170017,Starch,6.656601707
0.341688544,4.08097208,2.262492399,Mixed,5.972622533,5.75137141,38.78114192,Glucose,4.33618726
0.952366867,4.895457964,8.751920096,Mixed,1.847367191,7.879165813,20.13364258,Acetate,8.511520566
0.963142862,3.363089805,7.877670102,Pure Culture,4.092968733,8.467733873,35.4460203,Glucose,8.33209043
0.931891512,7.602289112,7.823757524,Sludge,3.541878088,6.815787392,32.50409539,Starch,8.202926644
0.49612696,5.275843706,8.525440667,Pure Culture,4.516555291,8.285727967,27.47109602,Starch,7.380168041
0.212365293,2.706020604,7.729727914,Mixed,8.185097694,7.218629392,21.00977889,Starch,4.157847069
0.94265485,9.045958446,6.449093055,Sludge,4.347394011,7.548363348,32.54973144,Glucose,7.101357429
0.542547319,4.146966603,1.746826338,Pure Culture,5.065271373,7.105113841,27.71227026,Starch,4.316685416
0.973323855,5.663752181,0.808998705,Pure Culture,4.576432514,6.852690867,38.72534279,Starch,3.868174895
0.970895982,9.111485054,9.248054554,Pure Culture,1.840671748,5.938613767,30.8398015,Glucose,9.246329117
0.882407564,6.430260961,6.358177988,Sludge,4.969649424,6.212776238,38.79303023,Acetate,6.922943873
0.435559114,1.610531387,8.067104264,Mixed,2.760483457,6.159880476,24.40967387,Acetate,7.531018903
0.508078183,9.428405174,5.074462339,Pure Culture,2.680509662,7.253155724,34.51451821,Starch,7.398783251
0.880909337,6.463226504,1.614427795,Pure Culture,1.84632494,5.479814772,32.34498042,Glucose,5.202530914
0.453537604,3.681603339,1.689265026,Pure Culture,4.210038767,8.667166763,34.7881646,Starch,5.071866699
0.335594197,1.82308469,7.012870229,Pure Culture,7.817336963,7.882620581,24.29335728,Glucose,5.032387879
0.64544101,8.043239298,4.587906002,Pure Culture,3.487975215,6.605782524,33.29989032,Glucose,5.742267081
0.948923819,6.390691181,2.404984904,Mixed,3.811141917,5.634496578,29.96080786,Acetate,5.790315487
0.756823837,5.567880374,5.170148194,Mixed,6.784071919,8.527968679,34.8564995,Acetate,5.914019563
0.656048936,8.991979539,1.109984902,Pure Culture,2.762567313,8.29511236,26.54089288,Glucose,5.348071232
0.277741195,7.991673507,6.028728318,Sludge,9.072621374,7.886886211,37.80114051,Starch,5.442511976
0.692005781,1.940911357,3.055437342,Mixed,5.681714709,6.08618819,21.68602629,Acetate,4.025244346
0.99204308,3.461359644,8.076811456,Sludge,5.028426463,6.60978655,36.14378638,Starch,7.690944621
0.312067212,2.860646828,3.44843861,Mixed,6.020381727,5.41099301,37.22639252,Acetate,5.234293918
